Pixel,UpperAuto,UpperManual,UpperMean,BottomAuto,BottomManual,BottomMean,ErrorUpperAuto,ErrorUpperManual,ErrorBottomAuto,ErrorBottomManual,StdErrorUpperAuto,StdErrorUpperManual,StdErrorBottomAuto,StdErrorBottomManual,PercentErrorUpperAuto,PercentErrorUpperManual,PercentErrorBottomAuto,PercentErrorBottomManual
318,-178.5,-178.5,-177.21368,-183.9,-184,-182.93118,-1.28632,-1.28632,-0.96882,-1.06882,1.65461,1.65461,0.93861,1.14237,0.0021516,0.0021516,0.0012206,0.0014855
319,-178.5,-178.5,-177.29264,-183.9,-184,-182.92193,-1.20736,-1.20736,-0.97807,-1.07807,1.45771,1.45771,0.95661,1.16223,0.0018956,0.0018956,0.001244,0.0015113
320,-178.5,-178.5,-177.37971,-183.8,-184,-182.91269,-1.12029,-1.12029,-0.88731,-1.08731,1.25506,1.25506,0.78733,1.18225,0.0016321,0.0016321,0.0010238,0.0015374
321,-178.6,-178.6,-177.46982,-183.8,-184,-182.90344,-1.13018,-1.13018,-0.89656,-1.09656,1.27731,1.27731,0.80383,1.20245,0.001661,0.001661,0.0010453,0.0015637
322,-178.7,-178.7,-177.55993,-183.8,-184,-182.89419,-1.14007,-1.14007,-0.90581,-1.10581,1.29975,1.29975,0.8205,1.22282,0.0016902,0.0016902,0.001067,0.0015901
323,-178.8,-178.8,-177.65005,-183.7,-184,-182.88494,-1.14995,-1.14995,-0.81506,-1.11506,1.32239,1.32239,0.66432,1.24336,0.0017196,0.0017196,0.0008639,0.0016169
324,-179,-179,-177.74016,-183.7,-184,-182.87569,-1.25984,-1.25984,-0.82431,-1.12431,1.58719,1.58719,0.67949,1.26407,0.002064,0.002064,0.0008836,0.0016438
325,-179.2,-179.2,-177.82504,-183.6,-184,-182.86644,-1.37496,-1.37496,-0.73356,-1.13356,1.8905,1.8905,0.53811,1.28496,0.0024584,0.0024584,0.0006998,0.0016709
326,-179.4,-179.4,-177.86906,-183.6,-184,-182.85719,-1.53094,-1.53094,-0.74281,-1.14281,2.34378,2.34378,0.55176,1.30601,0.0030478,0.0030478,0.0007175,0.0016983
327,-179.5,-179.5,-177.84393,-183.5,-183.9,-182.84794,-1.65607,-1.65607,-0.65206,-1.05206,2.74257,2.74257,0.42518,1.10682,0.0035664,0.0035664,0.0005529,0.0014393
328,-179.5,-179.5,-177.81945,-183.5,-183.9,-182.83869,-1.68055,-1.68055,-0.66131,-1.06131,2.82425,2.82425,0.43732,1.12637,0.0036726,0.0036726,0.0005687,0.0014647
329,-179.5,-179.5,-177.79633,-183.4,-183.9,-182.82945,-1.70367,-1.70367,-0.57055,-1.07055,2.9025,2.9025,0.32553,1.14609,0.0037744,0.0037744,0.0004233,0.0014904
330,-179.3,-179.3,-177.7732,-183.4,-183.9,-182.8202,-1.5268,-1.5268,-0.5798,-1.0798,2.3311,2.3311,0.33617,1.16597,0.0030313,0.0030313,0.0004372,0.0015162
331,-179,-179,-177.73186,-183.3,-183.9,-182.81095,-1.26814,-1.26814,-0.48905,-1.08905,1.60817,1.60817,0.23917,1.18603,0.0020912,0.0020912,0.000311,0.0015423
332,-178.6,-178.6,-177.62825,-183.3,-183.9,-182.8017,-0.97175,-0.97175,-0.4983,-1.0983,0.9443,0.9443,0.2483,1.20626,0.001228,0.001228,0.0003229,0.0015686
333,-178.2,-178.2,-177.50387,-183.2,-183.8,-182.79605,-0.69613,-0.69613,-0.40395,-1.00395,0.48459,0.48459,0.16317,1.00791,0.0006302,0.0006302,0.0002122,0.0013107
334,-177.7,-177.7,-177.3659,-183.1,-183.8,-182.79167,-0.3341,-0.3341,-0.30833,-1.00833,0.11162,0.11162,0.09507,1.01674,0.0001452,0.0001452,0.0001236,0.0013222
335,-177.1,-177.1,-177.22717,-183.1,-183.8,-182.78728,0.12717,0.12717,-0.31272,-1.01272,0.01617,0.01617,0.09779,1.0256,0.000021,0.000021,0.0001272,0.0013337
336,-176.4,-176.4,-177.06363,-183,-183.8,-182.78289,0.66363,0.66363,-0.21711,-1.01711,0.44041,0.44041,0.04713,1.0345,0.0005727,0.0005727,0.0000613,0.0013453
337,-175.7,-175.7,-176.90009,-182.9,-183.8,-182.77851,1.20009,1.20009,-0.12149,-1.02149,1.44022,1.44022,0.01476,1.04344,0.0018729,0.0018729,0.0000192,0.0013569
338,-175,-175,-176.69805,-182.9,-183.7,-182.77412,1.69805,1.69805,-0.12588,-0.92588,2.88338,2.88338,0.01584,0.85725,0.0037495,0.0037495,0.0000206,0.0011148
